lp_w,Pf_Ps,alpha,trap_frac,mean_vx
3.0,0.75,2.0399981816647212,0.37588,-6759.253546988294
3.0,0.875,2.0444914802304037,0.32758,-4017.4937740575797
3.0,1.0,1.7213718483274574,0.24808,-1059.196566953075
3.0,1.125,1.7377067283210728,0.12796,2018.022945214014
3.0,1.25,1.9409686702659796,0.04082,5229.05634021152
3.0,1.375,1.969277896311816,0.00784,8512.347353823992
3.0,1.5,1.9813252317901229,0.00072,11788.321568126328
3.0,1.625,1.9839623309315833,4e-05,15185.959151450152
3.0,1.75,1.9895267765622988,0.0,18600.891705860096
3.0,1.875,1.991179933579327,0.0,22050.97725392875
3.0,2.0,1.9965271243994847,0.0,25529.324336809703
3.25,0.125,1.7996953844480217,0.49588,-7768.85781919635
3.25,0.25,1.96042435013026,0.53176,-12606.014815138798
3.25,0.375,2.0299541367204594,0.50408,-13514.87611105784
3.25,0.5,2.037025496603761,0.46852,-12578.265825479946
3.25,0.625,2.0492832010377398,0.4206,-10412.544261272944
3.25,0.75,2.044598846337733,0.37752,-7766.967234796267
3.25,0.875,2.046988115922941,0.32456,-4709.032457977005
3.25,1.0,1.9347882999747488,0.2546,-1466.5834423272443
3.25,1.125,1.7116512334640694,0.12362,1915.1824224639786
3.25,1.25,1.9363735280956516,0.03334,5435.9381035158
3.25,1.375,1.9679569360740696,0.00474,9004.383070656104
3.25,1.5,1.9745646204553993,0.0003,12620.00762090901
3.25,1.625,1.9880367215965602,0.0,16305.789855091252
3.25,1.75,1.9883175858243245,0.0,20033.18173367892
3.25,1.875,1.9952439268041817,0.0,23719.9234564475
3.25,2.0,1.994578404133376,0.0,27487.197189590206
3.5,0.125,1.8179165100371764,0.50426,-9282.097562085411
3.5,0.25,1.9881834208732703,0.54122,-14267.910870476942
3.5,0.375,2.027081054556135,0.51374,-15457.12303270076
3.5,0.5,2.052742919256253,0.4643,-14131.961709445857
3.5,0.625,2.033249256336342,0.41512,-11751.074930181787
3.5,0.75,2.0441463032232186,0.37244,-8702.827747917214
3.5,0.875,2.044327871261993,0.32528,-5366.763725182257
3.5,1.0,1.97900978914545,0.2562,-1829.1245268860853
3.5,1.125,1.7505410235919339,0.12594,1837.2555433365703
3.5,1.25,1.9206125973441306,0.025,5688.905633235712
3.5,1.375,1.9641854764645832,0.00278,9540.895789117998
3.5,1.5,1.9837544185851104,0.00022,13442.675149817209
3.5,1.625,1.9914230107570772,0.0,17409.5223870009
3.5,1.75,1.991099144744571,0.0,21394.236279520555
