Pe_w,Pf_Pe,alpha,back_frac
3.5,1.25,1.9260752101057381,0.45326279999999997
3.5,1.5,1.985662952711471,0.3904305
3.5,1.75,1.9917314077844674,0.3310112
3.5,2.0,1.99405771713502,0.2764411
3.5,2.25,1.9965332705617203,0.227885
3.5,2.5,1.9945058360574832,0.1861998
3.5,2.75,1.9967835574753339,0.1507922
3.5,3.0,1.9978124257086063,0.121054
3.5,3.25,2.0020688608053194,0.09741520000000001
3.5,3.5,1.9973988333613477,0.0778923
3.5,3.75,2.0005725415428186,0.0622013
3.5,4.0,2.0005750936157267,0.0506142
3.75,0.25,2.004610234779027,0.6385172
3.75,0.5,2.0381903059401028,0.6345301999999999
3.75,0.75,2.0530776467706855,0.5836596
3.75,1.0,2.041112690513171,0.5200888
3.75,1.25,1.9345518003156095,0.45207480000000005
3.75,1.5,1.9795175128043236,0.38474480000000005
3.75,1.75,1.9959789019113203,0.3221199
3.75,2.0,1.9982067015639056,0.2650904
3.75,2.25,1.9976541162981147,0.21530259999999998
3.75,2.5,1.9960450303846968,0.173702
3.75,2.75,2.0024014167401853,0.13844299999999998
3.75,3.0,1.9976143358780871,0.1106662
3.75,3.25,1.9991187055025166,0.0879374
3.75,3.5,1.997167087795239,0.06992319999999999
3.75,3.75,2.0010435641865367,0.055046099999999994
3.75,4.0,1.9983288177570093,0.043975299999999995
4.0,0.25,2.0103308870345318,0.6556021000000001
4.0,0.5,2.04728094791171,0.6473682
4.0,0.75,2.037148167396384,0.5911882
4.0,1.0,2.068401786318327,0.5226858
4.0,1.25,1.9197233500385953,0.45043059999999996
4.0,1.5,1.9786582623169164,0.3787704
4.0,1.75,1.9916081573040465,0.3134585
4.0,2.0,1.9938599332412787,0.2545215
4.0,2.25,1.9988061186009527,0.2048253
4.0,2.5,1.9963439774169938,0.1625852
4.0,2.75,1.9997483699724699,0.1282916
4.0,3.0,1.999195689614993,0.10099790000000002
4.0,3.25,1.9967713110246856,0.0796611
4.0,3.5,1.9973906425612296,0.06251029999999999
4.0,3.75,1.9994626807005687,0.049148000000000004
4.0,4.0,1.999353870159778,0.0390932
